step=   2,048 | ep=     8 | lvl=easy   | ph=A cbs=1.00 | rew=-12.885 | goals=2.9 | coll=31.6 | pol=-0.0070 | val=0.2794 | ent=1.533 | 147 sps
step=   4,096 | ep=    16 | lvl=easy   | ph=A cbs=1.00 | rew=-10.862 | goals=2.6 | coll=26.4 | pol=-0.0013 | val=0.2586 | ent=1.471 | 153 sps
step=   6,144 | ep=    24 | lvl=easy   | ph=A cbs=1.00 | rew=-10.070 | goals=2.4 | coll=24.2 | pol=-0.0060 | val=0.2173 | ent=1.226 | 154 sps
step=   8,192 | ep=    32 | lvl=easy   | ph=A cbs=1.00 | rew=-9.402 | goals=2.1 | coll=21.0 | pol=-0.0017 | val=0.0731 | ent=1.206 | 156 sps
step=  10,240 | ep=    40 | lvl=easy   | ph=A cbs=1.00 | rew=-8.970 | goals=2.2 | coll=19.5 | pol=-0.0039 | val=0.1288 | ent=1.511 | 156 sps
step=  12,288 | ep=    48 | lvl=easy   | ph=A cbs=1.00 | rew=-8.742 | goals=2.1 | coll=18.0 | pol=-0.0026 | val=0.0966 | ent=1.040 | 157 sps
step=  14,336 | ep=    56 | lvl=easy   | ph=A cbs=1.00 | rew=-8.156 | goals=1.9 | coll=16.3 | pol=-0.0004 | val=0.0249 | ent=0.613 | 157 sps
step=  16,384 | ep=    64 | lvl=easy   | ph=A cbs=1.00 | rew=-7.678 | goals=1.8 | coll=14.9 | pol=-0.0035 | val=0.0093 | ent=0.679 | 157 sps
step=  18,432 | ep=    72 | lvl=easy   | ph=A cbs=1.00 | rew=-7.172 | goals=1.7 | coll=13.4 | pol=-0.0004 | val=0.0125 | ent=0.307 | 158 sps
step=  20,480 | ep=    80 | lvl=easy   | ph=A cbs=1.00 | rew=-6.782 | goals=1.6 | coll=12.3 | pol=-0.0006 | val=0.0059 | ent=0.229 | 158 sps
step=  22,528 | ep=    88 | lvl=easy   | ph=A cbs=1.00 | rew=-6.401 | goals=1.5 | coll=11.3 | pol=-0.0030 | val=0.0080 | ent=0.403 | 159 sps
step=  24,576 | ep=    96 | lvl=easy   | ph=A cbs=1.00 | rew=-6.136 | goals=1.4 | coll=10.7 | pol=-0.0017 | val=0.0092 | ent=0.232 | 159 sps
step=  26,624 | ep=   104 | lvl=easy   | ph=A cbs=1.00 | rew=-5.589 | goals=1.3 | coll=9.8 | pol=-0.0013 | val=0.0382 | ent=0.793 | 159 sps
step=  28,672 | ep=   112 | lvl=easy   | ph=A cbs=1.00 | rew=-4.924 | goals=1.3 | coll=7.6 | pol=-0.0083 | val=0.0292 | ent=0.627 | 159 sps
step=  30,720 | ep=   120 | lvl=easy   | ph=A cbs=1.00 | rew=-4.481 | goals=1.1 | coll=6.9 | pol=-0.0038 | val=0.0216 | ent=0.460 | 159 sps
step=  32,768 | ep=   128 | lvl=easy   | ph=A cbs=1.00 | rew=-4.115 | goals=1.1 | coll=7.5 | pol=-0.0064 | val=0.0184 | ent=0.431 | 159 sps
step=  34,816 | ep=   136 | lvl=easy   | ph=A cbs=1.00 | rew=-3.700 | goals=1.1 | coll=7.0 | pol=-0.0047 | val=0.0568 | ent=0.331 | 160 sps
step=  36,864 | ep=   144 | lvl=easy   | ph=A cbs=1.00 | rew=-3.234 | goals=0.9 | coll=6.0 | pol=-0.0055 | val=0.0095 | ent=0.518 | 160 sps
